n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.9130077,-12935.186489348502,-62.18839658340626
1,initial,1,-950714.3657606,-12935.138226554525,-62.18816455074291
1,initial,2,-950713.26286821,-12935.123220927151,-62.18809240830361
1,initial,3,-950706.28819367,-12935.028325570029,-62.18763618062514
1,initial,4,-950717.15264876,-12935.176144129848,-62.18834684677812
1,initial,5,-950721.41030003,-12935.234072472662,-62.18862534842626
1,initial,6,-950722.45225413,-12935.248248991704,-62.188693504767805
1,initial,7,-950723.08376323,-12935.256841117576,-62.18873481306527
1,initial,8,-950725.02357399,-12935.283233608545,-62.18886170004108
1,initial,9,-950725.65210962,-12935.291785278267,-62.18890281383782
1,initial,10,-950725.7802377,-12935.293528550994,-62.1889111949567
1,initial,11,-950725.79344811,-12935.293708287923,-62.18891205907656
1,initial,12,-950725.79382241,-12935.293713380537,-62.188912083560275
1,initial,13,-950725.79402858,-12935.293716185624,-62.18891209704627
1,initial,14,-950725.79473047,-12935.293725735333,-62.18891214295833
1,initial,15,-950725.79456329,-12935.29372346073,-62.18891213202274
1,initial,16,-950725.79464587,-12935.29372458429,-62.18891213742447
1,initial,17,-950725.79463517,-12935.293724438709,-62.18891213672456
1,initial,18,-950725.79463326,-12935.293724412722,-62.188912136599626
