Type,Iteration,converged,ETOT (eV),Eime (s)
first optimization,1,False,-13034.800120736423,13042.9
first optimization,2,False,-13034.47532405094,10451.7
first optimization,3,False,-13034.851782048443,10463.8
first optimization,4,False,-13034.86709530106,10527.1
first optimization,5,True,-13034.867095462016,6306.5
first optimization,1,True,-13034.867101576554,15920.3
