n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
5,initial,0,-958044.29656357,-13034.8670952265,-62.66763026551202
5,initial,1,-958044.29658751,-13034.867095552221,-62.66763026707799
5,initial,2,-958044.29586704,-13034.86708574972,-62.667630219950574
5,initial,3,-958044.29657035,-13034.867095318747,-62.66763026595551
5,initial,4,-958044.29658607,-13034.867095532627,-62.667630266983785
5,initial,5,-958044.29658015,-13034.867095452084,-62.66763026659656
5,initial,6,-958044.29658139,-13034.867095468953,-62.66763026667766
5,initial,7,-958044.29656994,-13034.86709531317,-62.6676302659287
5,initial,8,-958044.29658212,-13034.867095478887,-62.66763026672542
5,initial,9,-958044.29657978,-13034.867095447049,-62.66763026657235
5,initial,10,-958044.29658177,-13034.867095474125,-62.667630266702524
5,initial,11,-958044.29658275,-13034.867095487458,-62.66763026676662
5,initial,12,-958044.29657032,-13034.86709531834,-62.667630265953555
5,initial,13,-958044.29658152,-13034.867095470723,-62.66763026668617
5,initial,14,-958044.2965814,-13034.86709546909,-62.667630266678316
5,initial,15,-958044.29658182,-13034.867095474803,-62.667630266705785
5,initial,16,-958044.29658199,-13034.867095477117,-62.667630266716905
5,initial,17,-958044.29657954,-13034.867095443784,-62.66763026655666
5,initial,18,-958044.29658088,-13034.867095462016,-62.66763026664431
