n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.90201738,-12935.186339817461,-62.18839586450702
1,initial,1,-950713.98110191,-12935.13299300226,-62.18813938943394
1,initial,2,-950711.64974149,-12935.101273202523,-62.18798689039674
1,initial,3,-950703.61041009,-12934.991892439326,-62.18746102134291
1,initial,4,-950715.93847085,-12935.159624384629,-62.1882674249261
1,initial,5,-950720.7693163,-12935.225351437777,-62.18858342037393
1,initial,6,-950721.73914776,-12935.238546677529,-62.188646859026576
1,initial,7,-950722.49951471,-12935.248892005164,-62.18869659617867
1,initial,8,-950724.67340163,-12935.278469267076,-62.18883879455325
1,initial,9,-950725.46461907,-12935.289234337344,-62.18889054969877
1,initial,10,-950725.66155948,-12935.291913850264,-62.18890343197242
1,initial,11,-950725.68054338,-12935.292172139587,-62.18890467374801
1,initial,12,-950725.68043535,-12935.292170669763,-62.18890466668155
1,initial,13,-950725.68112367,-12935.292180034841,-62.188904711705966
1,initial,14,-950725.68184615,-12935.292189864691,-62.18890475896486
1,initial,15,-950725.68159585,-12935.292186459184,-62.188904742592236
1,initial,16,-950725.68172344,-12935.292188195133,-62.18890475093814
1,initial,17,-950725.68170872,-12935.29218799486,-62.18890474997529
1,initial,18,-950725.68170438,-12935.292187935811,-62.188904749691396
