n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.90944425,-12935.186440865256,-62.18839635031373
1,initial,1,-950714.03005195,-12935.133659002013,-62.18814259135583
1,initial,2,-950712.26720886,-12935.109674280773,-62.188027280196025
1,initial,3,-950704.63581498,-12935.005843794717,-62.18752809516691
1,initial,4,-950716.37575145,-12935.165573895027,-62.188296028341476
1,initial,5,-950721.16939103,-12935.23079473612,-62.188609590077505
1,initial,6,-950722.23023856,-12935.245228313579,-62.18867898227682
1,initial,7,-950722.68626048,-12935.251432812829,-62.18870881160014
1,initial,8,-950724.79372325,-12935.28010632742,-62.188846665035676
1,initial,9,-950725.51952779,-12935.289981409134,-62.188894141390065
1,initial,10,-950725.66894114,-12935.292014282944,-62.18890391482185
1,initial,11,-950725.68469101,-12935.292228571014,-62.188904945052954
1,initial,12,-950725.68558002,-12935.29224066662,-62.18890500320491
1,initial,13,-950725.68559649,-12935.292240890707,-62.18890500428225
1,initial,14,-950725.68644383,-12935.292252419364,-62.18890505970848
1,initial,15,-950725.68628746,-12935.29225029184,-62.188905049480006
1,initial,16,-950725.68636516,-12935.292251349005,-62.188905054562525
1,initial,17,-950725.6863546,-12935.292251205326,-62.188905053871764
1,initial,18,-950725.68635243,-12935.292251175802,-62.18890505372982
