n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-958043.8881991,-13034.861539140407,-62.66760355355965
1,initial,1,-958043.88844512,-13034.86154248768,-62.667603569652314
1,initial,2,-958043.81853199,-13034.860591270331,-62.667598996491975
1,initial,3,-958043.88601033,-13034.861509360651,-62.66760341038775
1,initial,4,-958043.88833379,-13034.86154097296,-62.66760356237
1,initial,5,-958043.88848844,-13034.86154307708,-62.667603572485966
1,initial,6,-958043.88849023,-13034.861543101435,-62.667603572603056
1,initial,7,-958043.88848377,-13034.861543013541,-62.66760357218049
1,initial,8,-958043.88850437,-13034.86154329382,-62.667603573527984
1,initial,9,-958043.88850097,-13034.86154324756,-62.66760357330558
1,initial,10,-958043.88850201,-13034.86154326171,-62.667603573373604
