n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.89888938,-12935.186297258819,-62.18839565989817
1,initial,1,-950714.05855902,-12935.134046860769,-62.18814445606139
1,initial,2,-950712.65780594,-12935.114988629019,-62.1880528299472
1,initial,3,-950705.30754378,-12935.01498313792,-62.18757203431692
1,initial,4,-950716.69961911,-12935.169980342536,-62.18831721318527
1,initial,5,-950721.24190304,-12935.231781313063,-62.18861433323588
1,initial,6,-950722.2165749,-12935.245042409866,-62.18867808850897
1,initial,7,-950722.77518308,-12935.252642667401,-62.18871462820866
1,initial,8,-950724.90393991,-12935.281605902668,-62.18885387453206
1,initial,9,-950725.60082078,-12935.291087457494,-62.18889945893026
1,initial,10,-950725.73922203,-12935.29297050393,-62.188908512038125
1,initial,11,-950725.75392372,-12935.293170530771,-62.18890947370563
1,initial,12,-950725.75455723,-12935.293179150121,-62.188909515144815
1,initial,13,-950725.75479592,-12935.293182397667,-62.18890953075801
1,initial,14,-950725.75551976,-12935.29319224602,-62.188909578105864
1,initial,15,-950725.75537612,-12935.293190291695,-62.18890956871007
1,initial,16,-950725.75544479,-12935.293191226,-62.18890957320192
1,initial,17,-950725.75543251,-12935.293191058923,-62.18890957239867
1,initial,18,-950725.75543505,-12935.29319109348,-62.18890957256481
