n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950714.0799391,-12935.134337751808,-62.188145854576
1,initial,1,-950679.99427686,-12934.670578321535,-62.18591624193046
1,initial,2,-950693.09380236,-12934.848806587719,-62.18677310859481
1,initial,3,-950692.12447261,-12934.835618174084,-62.18670970276002
1,initial,4,-950681.04224122,-12934.684836614395,-62.18598479141536
1,initial,5,-950694.56080869,-12934.868766241574,-62.18686906846911
1,initial,6,-950709.7870113,-12935.07592944697,-62.18786504541812
1,initial,7,-950716.44356914,-12935.166496602442,-62.18830046443482
1,initial,8,-950719.53136311,-12935.208508213138,-62.188502443332396
1,initial,9,-950721.08257904,-12935.229613597885,-62.18860391152829
1,initial,10,-950722.88946602,-12935.254197567254,-62.18872210368872
1,initial,11,-950723.39937614,-12935.2611352534,-62.18875545794904
1,initial,12,-950723.45748603,-12935.26192587936,-62.188759259035386
1,initial,13,-950723.47196218,-12935.262122837574,-62.188760205949876
1,initial,14,-950723.47030378,-12935.262100273874,-62.18876009747055
1,initial,15,-950723.4724148,-12935.262128995788,-62.18876023555667
1,initial,16,-950723.47231896,-12935.262127691816,-62.18876022928758
1,initial,17,-950723.47231478,-12935.262127634944,-62.18876022901415
1,initial,18,-950723.47239293,-12935.26212869823,-62.18876023412611
1,initial,19,-950723.47234958,-12935.262128108423,-62.188760231290495
1,initial,20,-950723.47235898,-12935.262128236316,-62.18876023190536
