n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.96984663,-12935.187262682157,-62.18840030135652
1,initial,1,-950714.73008502,-12935.143183444736,-62.18818838194584
1,initial,2,-950712.81326699,-12935.117103786044,-62.18806299897137
1,initial,3,-950704.74086361,-12935.007273055278,-62.18753496661191
1,initial,4,-950715.83785958,-12935.158255497472,-62.188260843737844
1,initial,5,-950719.80195736,-12935.2121898384,-62.18852014345384
1,initial,6,-950720.58738842,-12935.222876180896,-62.18857152010047
1,initial,7,-950722.19247994,-12935.244714580973,-62.18867651240852
1,initial,8,-950724.42871671,-12935.275140156486,-62.18882278921387
1,initial,9,-950725.32468172,-12935.287330391186,-62.18888139611147
1,initial,10,-950725.58718572,-12935.2909019429,-62.18889856703318
1,initial,11,-950725.61163869,-12935.291234642775,-62.188900166551804
1,initial,12,-950725.60886611,-12935.29119691987,-62.18889998519168
1,initial,13,-950725.61232422,-12935.291243969892,-62.188900211393715
1,initial,14,-950725.61184377,-12935.291237433032,-62.188900179966495
1,initial,15,-950725.6120211,-12935.29123984573,-62.18890019156601
1,initial,16,-950725.61205343,-12935.291240285604,-62.18890019368079
1,initial,17,-950725.61202728,-12935.291239929815,-62.18890019197026
1,initial,18,-950725.61202625,-12935.2912399158,-62.18890019190288
