Energy (eV),COHP,Int. COHP
-12.648714,0.0,0.0
-12.629121,0.0,0.0
-12.609393,0.0,0.0
-12.5898,0.0,0.0
-12.570072,0.0,0.0
-12.55048,0.0,0.0
-12.530751,0.0,0.0
-12.511159,0.0,0.0
-12.491431,0.0,0.0
-12.471838,0.0,0.0
-12.45211,0.0,0.0
-12.432517,0.0,0.0
-12.412789,0.0,0.0
-12.393197,0.0,0.0
-12.373468,0.0,0.0
-12.353876,0.0,0.0
-12.334148,0.0,0.0
-12.314555,0.0,0.0
-12.294827,0.0,0.0
-12.275234,0.0,0.0
-12.255506,0.0,0.0
-12.235778,0.0,0.0
-12.216185,0.0,0.0
-12.196457,0.0,0.0
-12.176864,0.0,0.0
-12.157136,0.0,0.0
-12.137544,0.0,0.0
-12.117815,0.0,0.0
-12.098223,0.0,0.0
-12.078495,0.0,0.0
-12.058902,0.0,0.0
-12.039174,0.0,0.0
-12.019581,0.0,0.0
-11.999853,0.0,0.0
-11.980261,0.0,0.0
-11.960532,0.0,0.0
-11.94094,0.0,0.0
-11.921211,0.0,0.0
-11.901619,0.0,0.0
-11.881891,0.0,0.0
-11.862162,0.0,0.0
-11.84257,0.0,0.0
-11.822842,0.0,0.0
-11.803249,0.0,0.0
-11.783521,0.0,0.0
-11.763928,0.0,0.0
-11.7442,0.0,0.0
-11.724608,0.0,0.0
-11.704879,0.0,0.0
-11.685287,0.0,0.0
-11.665558,0.0,0.0
-11.645966,0.0,0.0
-11.626238,0.0,0.0
-11.606645,0.0,0.0
-11.586917,0.0,0.0
-11.567325,0.0,0.0
-11.547596,0.0,0.0
-11.528004,0.0,0.0
-11.508275,0.0,0.0
-11.488683,0.0,0.0
-11.468955,0.0,0.0
-11.449226,0.0,0.0
-11.429634,0.0,0.0
-11.409906,0.0,0.0
-11.390313,0.0,0.0
-11.370585,0.0,0.0
-11.350992,0.0,0.0
-11.331264,0.0,0.0
-11.311672,0.0,0.0
-11.291943,0.0,0.0
-11.272351,0.0,0.0
-11.252622,0.0,0.0
-11.23303,0.0,0.0
-11.213302,0.0,0.0
-11.193709,0.0,0.0
-11.173981,0.0,0.0
-11.154389,0.0,0.0
-11.13466,0.0,0.0
-11.115068,0.0,0.0
-11.095339,0.0,0.0
-11.075611,0.0,0.0
-11.056019,0.0,0.0
-11.03629,0.0,0.0
-11.016698,0.0,0.0
-10.996969,0.0,0.0
-10.977377,0.0,0.0
-10.957649,0.0,0.0
-10.938056,0.0,0.0
-10.918328,0.0,0.0
-10.898736,0.0,0.0
-10.879007,0.0,0.0
-10.859415,0.0,0.0
-10.839686,0.0,0.0
-10.820094,0.0,0.0
-10.800366,0.0,0.0
-10.780773,0.0,0.0
-10.761045,0.0,0.0
-10.741453,0.0,0.0
-10.721724,0.0,0.0
-10.702132,0.0,0.0
-10.682403,0.0,0.0
-10.662675,9e-06,0.0
-10.643083,0.00053,6e-06
-10.623354,0.000852,2.1e-05
-10.603762,0.001032,3.9e-05
-10.584033,0.001226,6.1e-05
-10.564441,0.001336,8.7e-05
-10.544713,0.001523,0.000115
-10.52512,0.001695,0.000146
-10.505392,0.002108,0.000184
-10.4858,0.00191,0.000224
-10.466071,0.001986,0.000262
-10.446479,0.001775,0.000299
-10.42675,0.001715,0.000334
-10.407158,0.001883,0.000368
-10.38743,0.003151,0.000419
-10.367837,0.002009,0.000469
-10.348109,0.002344,0.000511
-10.328517,0.002496,0.000559
-10.308788,0.002623,0.00061
-10.289196,0.002975,0.000665
-10.269467,0.003126,0.000724
-10.249739,0.003177,0.000787
-10.230147,0.002662,0.000845
-10.210418,0.002332,0.000894
-10.190826,0.001743,0.000934
-10.171097,0.001058,0.000961
-10.151505,0.001274,0.000978
-10.131777,0.001604,0.001003
-10.112184,0.002675,0.001045
-10.092456,0.00462,0.001115
-10.072864,0.005075,0.001226
-10.053135,0.004138,0.001291
-10.033543,0.003087,0.001378
-10.013814,0.00382,0.001441
-9.994222,0.004308,0.001531
-9.974494,0.004594,0.001622
-9.954901,0.005129,0.001704
-9.935173,0.009418,0.001866
-9.915581,0.006963,0.002019
-9.895852,0.010047,0.002188
-9.876124,0.008811,0.00238
-9.856531,0.00702,0.002546
-9.836803,0.005519,0.002657
-9.817211,0.007469,0.002779
-9.797482,0.007496,0.002911
-9.77789,0.01038,0.003099
-9.758161,0.00919,0.003252
-9.738569,0.018755,0.003518
-9.718841,0.006974,0.00372
-9.699248,0.00535,0.00384
-9.67952,0.008133,0.00401
-9.659928,0.005971,0.00414
-9.640199,0.004958,0.004216
-9.620607,0.006397,0.004361
-9.600878,0.007331,0.004496
-9.581286,0.007369,0.004661
-9.561558,0.013382,0.004901
-9.541965,0.015544,0.005235
-9.522237,0.025382,0.005617
-9.502644,0.018859,0.005978
-9.482916,0.01722,0.006396
-9.463188,0.016433,0.006763
-9.443595,0.009742,0.006991
-9.423867,0.012386,0.007241
-9.404275,0.012354,0.007442
-9.384546,0.007843,0.007586
-9.364954,0.004077,0.007709
-9.345225,0.0,0.007721
-9.325633,0.0,0.007721
-9.305905,0.0,0.007721
-9.286312,0.0,0.007721
-9.266584,0.0,0.007721
-9.246991,0.0,0.007721
-9.227263,0.0,0.007721
-9.207671,0.0,0.007721
-9.187942,0.0,0.007721
-9.16835,0.0,0.007721
-9.148622,0.0,0.007721
-9.129029,0.0,0.007721
-9.109301,0.0,0.007721
-9.089572,0.0,0.007721
-9.06998,0.0,0.007721
-9.050252,0.0,0.007721
-9.030659,0.0,0.007721
-9.010931,0.0,0.007721
-8.991339,0.0,0.007721
-8.97161,0.0,0.007721
-8.952018,0.0,0.007721
-8.932289,0.0,0.007721
-8.912697,0.0,0.007721
-8.892969,0.0,0.007721
-8.873376,0.0,0.007721
-8.853648,0.0,0.007721
-8.834055,0.0,0.007721
-8.814327,0.0,0.007721
-8.794735,0.0,0.007721
-8.775006,0.0,0.007721
-8.755414,0.0,0.007721
-8.735686,0.0,0.007721
-8.716093,0.0,0.007721
-8.696365,7.3e-05,0.007722
-8.676636,0.000523,0.007727
-8.657044,0.000293,0.007733
-8.637316,0.00215,0.00776
-8.617723,0.000829,0.007786
-8.597995,0.0,0.007795
-8.578402,0.0,0.007795
-8.558674,0.0,0.007795
-8.539082,0.0,0.007795
-8.519353,0.0,0.007795
-8.499761,0.0,0.007795
-8.480033,0.0,0.007795
-8.46044,0.0,0.007795
-8.440712,0.0,0.007795
-8.421119,0.0,0.007795
-8.401391,0.0,0.007795
-8.381799,0.0,0.007795
-8.36207,0.0,0.007795
-8.342478,0.0,0.007795
-8.322749,0.0,0.007795
-8.303157,0.0,0.007795
-8.283429,0.0,0.007795
-8.2637,0.0,0.007795
-8.244108,0.0,0.007795
-8.22438,0.0,0.007795
-8.204787,0.0,0.007795
-8.185059,0.0,0.007795
-8.165466,0.0,0.007795
