n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.93038515,-12935.18672578094,-62.188397720100674
1,initial,1,-950714.02117281,-12935.133538195063,-62.188142010553186
1,initial,2,-950710.11602081,-12935.080405852968,-62.18788656660081
1,initial,3,-950698.52757853,-12934.922736937759,-62.187128542969994
1,initial,4,-950712.63452258,-12935.114671842513,-62.18805130693516
1,initial,5,-950719.84460365,-12935.212770071199,-62.18852293303461
1,initial,6,-950721.13266784,-12935.230295091269,-62.18860718793879
1,initial,7,-950721.23102033,-12935.231633246132,-62.18861362137564
1,initial,8,-950723.65344848,-12935.264592086445,-62.188772077338676
1,initial,9,-950725.01257612,-12935.283083974782,-62.18886098064799
1,initial,10,-950725.46349321,-12935.289219019227,-62.18889047605398
1,initial,11,-950725.4901044,-12935.289581083201,-62.18889221674616
1,initial,12,-950725.49260037,-12935.28961504263,-62.18889238001264
1,initial,13,-950725.49343593,-12935.289626411011,-62.188892434668325
1,initial,14,-950725.49440188,-12935.28963955344,-62.18889249785308
1,initial,15,-950725.49424481,-12935.289637416392,-62.188892487578805
1,initial,16,-950725.49429096,-12935.289638044298,-62.18889249059759
1,initial,17,-950725.49427793,-12935.289637867016,-62.18889248974527
1,initial,18,-950725.4942797,-12935.289637891097,-62.18889248986105
