n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-958042.57903921,-13034.843727098485,-62.66751791874272
1,initial,1,-958042.57894297,-13034.843725789075,-62.66751791244747
1,initial,2,-958042.51306751,-13034.842829507064,-62.66751360339935
1,initial,3,-958042.57392327,-13034.84365749252,-62.667517584098654
1,initial,4,-958042.5789022,-13034.843725234368,-62.667517909780614
1,initial,5,-958042.57893772,-13034.843725717643,-62.66751791210405
1,initial,6,-958042.57884181,-13034.84372441272,-62.66751790583039
1,initial,7,-958042.5788825,-13034.843724966337,-62.667517908492
1,initial,8,-958042.57890887,-13034.84372532512,-62.66751791021692
1,initial,9,-958042.57889534,-13034.843725141034,-62.66751790933189
1,initial,10,-958042.57889741,-13034.843725169198,-62.66751790946729
1,initial,11,-958042.57889674,-13034.84372516008,-62.66751790942347
