n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.96473468,-12935.187193130478,-62.18839996697345
1,initial,1,-950714.69408689,-12935.142693664835,-62.188186027234785
1,initial,2,-950712.81200591,-12935.117086628163,-62.18806291648155
1,initial,3,-950704.66855046,-12935.006289183966,-62.18753023646138
1,initial,4,-950715.69879054,-12935.156363365282,-62.188251746948474
1,initial,5,-950719.7852436,-12935.211962435931,-62.188519050172744
1,initial,6,-950720.58791412,-12935.222883333417,-62.18857155448758
1,initial,7,-950722.10092775,-12935.243468948976,-62.18867052379316
1,initial,8,-950724.34542881,-12935.274006965974,-62.18881734118257
1,initial,9,-950725.28074045,-12935.286732539274,-62.18887852182343
1,initial,10,-950725.56096999,-12935.29054525944,-62.18889685220885
1,initial,11,-950725.5856642,-12935.290881241552,-62.18889846750746
1,initial,12,-950725.5831362,-12935.29084684633,-62.188898302145816
1,initial,13,-950725.58656092,-12935.29089344206,-62.18889852616375
1,initial,14,-950725.58599741,-12935.290885775108,-62.188898489303405
1,initial,15,-950725.58619328,-12935.290888440055,-62.18889850211565
1,initial,16,-950725.58619328,-12935.290888440055,-62.18889850211565
1,initial,17,-950725.5861794,-12935.29088825121,-62.18889850120774
1,initial,18,-950725.58617791,-12935.290888230937,-62.18889850111027
