n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950717.77039992,-12935.184549069261,-62.18838725514068
1,initial,1,-950715.68852454,-12935.156223689126,-62.18825107542849
1,initial,2,-950713.37373361,-12935.124729328965,-62.18809966023541
1,initial,3,-950705.83602751,-12935.022173531108,-62.18760660351494
1,initial,4,-950715.38272477,-12935.152063067979,-62.18823107244221
1,initial,5,-950720.68155925,-12935.224157441333,-62.18857768000641
1,initial,6,-950722.79502551,-12935.25291263763,-62.18871592614245
1,initial,7,-950722.86473653,-12935.253861105133,-62.188720486082374
1,initial,8,-950724.42031436,-12935.275025836598,-62.18882223959903
1,initial,9,-950725.15016309,-12935.284955942367,-62.18886998049215
1,initial,10,-950725.33090412,-12935.287415051318,-62.18888180313134
1,initial,11,-950725.34402005,-12935.287593502779,-62.18888266107105
1,initial,12,-950725.34484401,-12935.287604713334,-62.18888271496795
1,initial,13,-950725.34470008,-12935.287602755066,-62.188882705553205
1,initial,14,-950725.34586837,-12935.287618650475,-62.18888278197343
1,initial,15,-950725.34561525,-12935.287615206598,-62.18888276541634
1,initial,16,-950725.34570785,-12935.287616466485,-62.18888277147349
1,initial,17,-950725.34569233,-12935.287616255326,-62.1888827704583
1,initial,18,-950725.34569246,-12935.287616257094,-62.1888827704668
