k,Energy (eV)
0.0,-10.593612
0.02608,-10.604496
0.05217,-10.61538
0.07825,-10.626266
0.10434,-10.63715
0.13042,-10.648035
0.15651,-10.658919
0.18259,-10.669804
0.20868,-10.679328
0.23477,-10.688851
0.26085,-10.698376
0.28694,-10.7079
0.31302,-10.716063
0.33911,-10.724227
0.36519,-10.73239
0.39128,-10.740554
0.41736,-10.747356
0.44345,-10.75416
0.46953,-10.759603
0.49562,-10.766405
0.5217,-10.770487
0.54779,-10.775929
0.57387,-10.780011
0.59996,-10.782732
0.62604,-10.786814
0.65213,-10.789536
0.67821,-10.790895
0.7043,-10.792256
0.73038,-10.793616
0.75647,-10.793616
,
,
0.0,-10.593612
0.02608,-10.582726
0.05217,-10.571842
0.07825,-10.560958
0.10434,-10.550073
0.13042,-10.539188
0.15651,-10.528303
0.18259,-10.520141
0.20868,-10.520141
0.23477,-10.520141
0.26085,-10.520141
0.28694,-10.520141
0.31302,-10.520141
0.33911,-10.51878
0.36519,-10.51878
0.39128,-10.517419
0.41736,-10.517419
0.44345,-10.516059
0.46953,-10.516059
0.49562,-10.514698
0.5217,-10.514698
0.54779,-10.513337
0.57387,-10.513337
0.59996,-10.513337
0.62604,-10.511977
0.65213,-10.511977
0.67821,-10.511977
0.7043,-10.510616
0.73038,-10.510616
0.75647,-10.510616
,
,
0.0,-10.516059
0.02608,-10.517419
0.05217,-10.517419
0.07825,-10.51878
0.10434,-10.520141
0.13042,-10.520141
0.15651,-10.520141
0.18259,-10.517419
0.20868,-10.507895
0.23477,-10.49837
0.26085,-10.492929
0.28694,-10.490208
0.31302,-10.486126
0.33911,-10.483404
0.36519,-10.479322
0.39128,-10.476602
0.41736,-10.47388
0.44345,-10.469798
0.46953,-10.467077
0.49562,-10.464356
0.5217,-10.460275
0.54779,-10.457554
0.57387,-10.454832
0.59996,-10.453472
0.62604,-10.45075
0.65213,-10.449389
0.67821,-10.44803
0.7043,-10.446669
0.73038,-10.446669
0.75647,-10.446669
,
,
0.0,-10.516059
0.02608,-10.514698
0.05217,-10.511977
0.07825,-10.510616
0.10434,-10.509255
0.13042,-10.506535
0.15651,-10.503813
0.18259,-10.501092
0.20868,-10.49837
0.23477,-10.495649
0.26085,-10.488847
0.28694,-10.479322
0.31302,-10.471159
0.33911,-10.462996
0.36519,-10.456193
0.39128,-10.44803
0.41736,-10.441226
0.44345,-10.435784
0.46953,-10.430342
0.49562,-10.424899
0.5217,-10.420817
0.54779,-10.416736
0.57387,-10.412655
0.59996,-10.409933
0.62604,-10.407212
0.65213,-10.405851
0.67821,-10.404491
0.7043,-10.403131
0.73038,-10.40177
0.75647,-10.40177
,
,
0.0,-10.207207
0.02608,-10.207207
0.05217,-10.205846
0.07825,-10.204485
0.10434,-10.203125
0.13042,-10.200403
0.15651,-10.197682
0.18259,-10.194962
0.20868,-10.19088
0.23477,-10.186798
0.26085,-10.182716
0.28694,-10.177274
0.31302,-10.171831
0.33911,-10.166389
0.36519,-10.160947
0.39128,-10.154144
0.41736,-10.147341
0.44345,-10.139178
0.46953,-10.132375
0.49562,-10.124211
0.5217,-10.116048
0.54779,-10.109245
0.57387,-10.101082
0.59996,-10.092917
0.62604,-10.084755
0.65213,-10.076591
0.67821,-10.069788
0.7043,-10.064345
0.73038,-10.060264
0.75647,-10.058904
,
,
0.0,-10.207207
0.02608,-10.207207
0.05217,-10.205846
0.07825,-10.204485
0.10434,-10.203125
0.13042,-10.200403
0.15651,-10.197682
0.18259,-10.194962
0.20868,-10.19088
0.23477,-10.186798
0.26085,-10.182716
0.28694,-10.177274
0.31302,-10.171831
0.33911,-10.166389
0.36519,-10.160947
0.39128,-10.154144
0.41736,-10.147341
0.44345,-10.139178
0.46953,-10.132375
0.49562,-10.124211
0.5217,-10.116048
0.54779,-10.109245
0.57387,-10.101082
0.59996,-10.092917
0.62604,-10.084755
0.65213,-10.076591
0.67821,-10.069788
0.7043,-10.064345
0.73038,-10.060264
0.75647,-10.058904
,
,
0.0,-9.997678
0.02608,-9.997678
0.05217,-9.997678
0.07825,-9.997678
0.10434,-9.996317
0.13042,-9.996317
0.15651,-9.994956
0.18259,-9.994956
0.20868,-9.993596
0.23477,-9.992235
0.26085,-9.990874
0.28694,-9.990874
0.31302,-9.989513
0.33911,-9.988153
0.36519,-9.988153
0.39128,-9.986793
0.41736,-9.988153
0.44345,-9.993596
0.46953,-9.997678
0.49562,-10.00312
0.5217,-10.007201
0.54779,-10.011283
0.57387,-10.015365
0.59996,-10.018086
0.62604,-10.020807
0.65213,-10.023528
0.67821,-10.02625
0.7043,-10.027611
0.73038,-10.027611
0.75647,-10.028971
,
,
0.0,-9.997678
0.02608,-9.997678
0.05217,-9.996317
0.07825,-9.996317
0.10434,-9.994956
0.13042,-9.993596
0.15651,-9.992235
0.18259,-9.990874
0.20868,-9.988153
0.23477,-9.985432
0.26085,-9.982711
0.28694,-9.978629
0.31302,-9.974548
0.33911,-9.973187
0.36519,-9.978629
0.39128,-9.982711
0.41736,-9.985432
0.44345,-9.985432
0.46953,-9.984072
0.49562,-9.982711
0.5217,-9.982711
0.54779,-9.98135
0.57387,-9.98135
0.59996,-9.98135
0.62604,-9.97999
0.65213,-9.97999
0.67821,-9.97999
0.7043,-9.98135
0.73038,-9.984072
0.75647,-9.986793
,
,
0.0,-9.932369
0.02608,-9.93373
0.05217,-9.935091
0.07825,-9.936451
0.10434,-9.937812
0.13042,-9.940533
0.15651,-9.943254
0.18259,-9.947336
0.20868,-9.950057
0.23477,-9.954139
0.26085,-9.959581
0.28694,-9.963663
0.31302,-9.967745
0.33911,-9.970466
0.36519,-9.966384
0.39128,-9.960941
0.41736,-9.95686
0.44345,-9.951418
0.46953,-9.945975
0.49562,-9.943254
0.5217,-9.943254
0.54779,-9.943254
0.57387,-9.943254
0.59996,-9.951418
0.62604,-9.959581
0.65213,-9.967745
0.67821,-9.974548
0.7043,-9.98135
0.73038,-9.984072
0.75647,-9.986793
,
,
0.0,-9.932369
0.02608,-9.932369
0.05217,-9.931008
0.07825,-9.932369
0.10434,-9.932369
0.13042,-9.932369
0.15651,-9.93373
0.18259,-9.935091
0.20868,-9.935091
0.23477,-9.936451
0.26085,-9.937812
0.28694,-9.939173
0.31302,-9.940533
0.33911,-9.941894
0.36519,-9.941894
0.39128,-9.943254
0.41736,-9.943254
0.44345,-9.943254
0.46953,-9.943254
0.49562,-9.940533
0.5217,-9.935091
0.54779,-9.935091
0.57387,-9.943254
0.59996,-9.951418
0.62604,-9.959581
0.65213,-9.967745
0.67821,-9.974548
0.7043,-9.97999
0.73038,-9.97999
0.75647,-9.97999
,
,
0.0,-9.811278
0.02608,-9.811278
0.05217,-9.813999
0.07825,-9.81672
0.10434,-9.819441
0.13042,-9.823523
0.15651,-9.828965
0.18259,-9.833047
0.20868,-9.83849
0.23477,-9.845292
0.26085,-9.850735
0.28694,-9.857537
0.31302,-9.864341
0.33911,-9.871143
0.36519,-9.877946
0.39128,-9.88611
0.41736,-9.892913
0.44345,-9.901076
0.46953,-9.90924
0.49562,-9.917403
0.5217,-9.925567
0.54779,-9.935091
0.57387,-9.943254
0.59996,-9.943254
0.62604,-9.941894
0.65213,-9.941894
0.67821,-9.940533
0.7043,-9.940533
0.73038,-9.940533
0.75647,-9.940533
,
,
0.0,-9.811278
0.02608,-9.811278
0.05217,-9.813999
0.07825,-9.81672
0.10434,-9.819441
0.13042,-9.823523
0.15651,-9.828965
0.18259,-9.833047
0.20868,-9.83849
0.23477,-9.845292
0.26085,-9.850735
0.28694,-9.857537
0.31302,-9.864341
0.33911,-9.871143
0.36519,-9.877946
0.39128,-9.88611
0.41736,-9.892913
0.44345,-9.901076
0.46953,-9.90924
0.49562,-9.917403
0.5217,-9.925567
0.54779,-9.929648
0.57387,-9.924206
0.59996,-9.918764
0.62604,-9.914682
0.65213,-9.910601
0.67821,-9.907879
0.7043,-9.905158
0.73038,-9.903797
0.75647,-9.903797
,
,
0.0,-9.782706
0.02608,-9.782706
0.05217,-9.782706
0.07825,-9.781345
0.10434,-9.779984
0.13042,-9.778625
0.15651,-9.778625
0.18259,-9.777264
0.20868,-9.775903
0.23477,-9.775903
0.26085,-9.775903
0.28694,-9.775903
0.31302,-9.775903
0.33911,-9.775903
0.36519,-9.777264
0.39128,-9.777264
0.41736,-9.778625
0.44345,-9.778625
0.46953,-9.779984
0.49562,-9.781345
0.5217,-9.788148
0.54779,-9.79495
0.57387,-9.801754
0.59996,-9.807197
0.62604,-9.811278
0.65213,-9.81536
0.67821,-9.819441
0.7043,-9.820802
0.73038,-9.822163
0.75647,-9.823523
,
,
0.0,-9.782706
0.02608,-9.782706
0.05217,-9.782706
0.07825,-9.781345
0.10434,-9.779984
0.13042,-9.778625
0.15651,-9.778625
0.18259,-9.777264
0.20868,-9.775903
0.23477,-9.775903
0.26085,-9.775903
0.28694,-9.775903
0.31302,-9.775903
0.33911,-9.775903
0.36519,-9.777264
0.39128,-9.777264
0.41736,-9.778625
0.44345,-9.778625
0.46953,-9.779984
0.49562,-9.781345
0.5217,-9.781345
0.54779,-9.782706
0.57387,-9.784066
0.59996,-9.785427
0.62604,-9.785427
0.65213,-9.786788
0.67821,-9.786788
0.7043,-9.786788
0.73038,-9.788148
0.75647,-9.788148
,
,
0.0,-9.664335
0.02608,-9.664335
0.05217,-9.662974
0.07825,-9.662974
0.10434,-9.662974
0.13042,-9.664335
0.15651,-9.671139
0.18259,-9.679302
0.20868,-9.688826
0.23477,-9.696989
0.26085,-9.705153
0.28694,-9.714677
0.31302,-9.72284
0.33911,-9.732365
0.36519,-9.740527
0.39128,-9.748692
0.41736,-9.758216
0.44345,-9.766378
0.46953,-9.773182
0.49562,-9.781345
0.5217,-9.781345
0.54779,-9.782706
0.57387,-9.784066
0.59996,-9.785427
0.62604,-9.785427
0.65213,-9.786788
0.67821,-9.786788
0.7043,-9.786788
0.73038,-9.788148
0.75647,-9.788148
,
,
0.0,-9.664335
0.02608,-9.664335
0.05217,-9.662974
0.07825,-9.662974
0.10434,-9.662974
0.13042,-9.662974
0.15651,-9.661614
0.18259,-9.665696
0.20868,-9.669778
0.23477,-9.67386
0.26085,-9.677941
0.28694,-9.682022
0.31302,-9.686105
0.33911,-9.688826
0.36519,-9.692907
0.39128,-9.696989
0.41736,-9.701071
0.44345,-9.705153
0.46953,-9.707873
0.49562,-9.711955
0.5217,-9.716037
0.54779,-9.718759
0.57387,-9.72284
0.59996,-9.725561
0.62604,-9.728283
0.65213,-9.731004
0.67821,-9.733725
0.7043,-9.735085
0.73038,-9.736445
0.75647,-9.736445
,
,
0.0,-9.635763
0.02608,-9.639845
0.05217,-9.645288
0.07825,-9.649369
0.10434,-9.656172
0.13042,-9.662974
0.15651,-9.661614
0.18259,-9.661614
0.20868,-9.661614
0.23477,-9.660254
0.26085,-9.661614
0.28694,-9.661614
0.31302,-9.661614
0.33911,-9.664335
0.36519,-9.665696
0.39128,-9.668417
0.41736,-9.671139
0.44345,-9.67386
0.46953,-9.67658
0.49562,-9.680662
0.5217,-9.683383
0.54779,-9.686105
0.57387,-9.688826
0.59996,-9.690187
0.62604,-9.692907
0.65213,-9.694268
0.67821,-9.695629
0.7043,-9.696989
0.73038,-9.696989
0.75647,-9.696989
,
,
0.0,-9.635763
0.02608,-9.637124
0.05217,-9.642566
0.07825,-9.649369
0.10434,-9.653451
0.13042,-9.657532
0.15651,-9.661614
0.18259,-9.661614
0.20868,-9.661614
0.23477,-9.660254
0.26085,-9.661614
0.28694,-9.661614
0.31302,-9.661614
0.33911,-9.664335
0.36519,-9.665696
0.39128,-9.668417
0.41736,-9.671139
0.44345,-9.67386
0.46953,-9.67658
0.49562,-9.680662
0.5217,-9.683383
0.54779,-9.686105
0.57387,-9.688826
0.59996,-9.690187
0.62604,-9.692907
0.65213,-9.694268
0.67821,-9.695629
0.7043,-9.696989
0.73038,-9.696989
0.75647,-9.696989
,
,
0.0,-9.631681
0.02608,-9.631681
0.05217,-9.626239
0.07825,-9.622158
0.10434,-9.616715
0.13042,-9.611273
0.15651,-9.60583
0.18259,-9.600388
0.20868,-9.594946
0.23477,-9.599028
0.26085,-9.601748
0.28694,-9.60583
0.31302,-9.608551
0.33911,-9.611273
0.36519,-9.613994
0.39128,-9.615355
0.41736,-9.616715
0.44345,-9.618075
0.46953,-9.618075
0.49562,-9.618075
0.5217,-9.619436
0.54779,-9.619436
0.57387,-9.618075
0.59996,-9.618075
0.62604,-9.618075
0.65213,-9.618075
0.67821,-9.618075
0.7043,-9.618075
0.73038,-9.618075
0.75647,-9.618075
,
,
0.0,-9.631681
0.02608,-9.626239
0.05217,-9.620797
0.07825,-9.615355
0.10434,-9.611273
0.13042,-9.607191
0.15651,-9.601748
0.18259,-9.597667
0.20868,-9.594946
0.23477,-9.599028
0.26085,-9.601748
0.28694,-9.60583
0.31302,-9.608551
0.33911,-9.611273
0.36519,-9.613994
0.39128,-9.615355
0.41736,-9.616715
0.44345,-9.618075
0.46953,-9.618075
0.49562,-9.618075
0.5217,-9.619436
0.54779,-9.619436
0.57387,-9.618075
0.59996,-9.618075
0.62604,-9.618075
0.65213,-9.618075
0.67821,-9.618075
0.7043,-9.618075
0.73038,-9.618075
0.75647,-9.618075
,
,
0.0,-9.58134
0.02608,-9.58134
0.05217,-9.582701
0.07825,-9.584061
0.10434,-9.585422
0.13042,-9.586782
0.15651,-9.589503
0.18259,-9.592225
0.20868,-9.594946
0.23477,-9.589503
0.26085,-9.584061
0.28694,-9.578619
0.31302,-9.573176
0.33911,-9.569095
0.36519,-9.563653
0.39128,-9.55957
0.41736,-9.555489
0.44345,-9.554129
0.46953,-9.552768
0.49562,-9.551407
0.5217,-9.550046
0.54779,-9.548686
0.57387,-9.547325
0.59996,-9.547325
0.62604,-9.545964
0.65213,-9.545964
0.67821,-9.544604
0.7043,-9.544604
0.73038,-9.544604
0.75647,-9.544604
,
,
0.0,-9.58134
0.02608,-9.58134
0.05217,-9.582701
0.07825,-9.584061
0.10434,-9.585422
0.13042,-9.586782
0.15651,-9.589503
0.18259,-9.592225
0.20868,-9.593585
0.23477,-9.588143
0.26085,-9.584061
0.28694,-9.578619
0.31302,-9.573176
0.33911,-9.567735
0.36519,-9.562292
0.39128,-9.55821
0.41736,-9.554129
0.44345,-9.550046
0.46953,-9.545964
0.49562,-9.541883
0.5217,-9.537802
0.54779,-9.53372
0.57387,-9.53372
0.59996,-9.53372
0.62604,-9.53372
0.65213,-9.53372
0.67821,-9.53372
0.7043,-9.53372
0.73038,-9.53372
0.75647,-9.53372
,
,
0.0,-9.554129
0.02608,-9.55821
0.05217,-9.560931
0.07825,-9.563653
0.10434,-9.565013
0.13042,-9.566374
0.15651,-9.566374
0.18259,-9.566374
0.20868,-9.566374
0.23477,-9.566374
0.26085,-9.565013
0.28694,-9.563653
0.31302,-9.562292
0.33911,-9.560931
0.36519,-9.55957
0.39128,-9.556849
0.41736,-9.551407
0.44345,-9.544604
0.46953,-9.539163
0.49562,-9.53372
0.5217,-9.53372
0.54779,-9.53372
0.57387,-9.53372
0.59996,-9.53372
0.62604,-9.53372
0.65213,-9.53372
0.67821,-9.53372
