n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-958044.36153354,-13034.867979188679,-62.667634515330185
1,initial,1,-958044.36169136,-13034.867981335932,-62.66763452565352
1,initial,2,-958044.2825824,-13034.86690500284,-62.66762935097519
1,initial,3,-958044.35965602,-13034.867953643696,-62.66763439251777
1,initial,4,-958044.36174646,-13034.867982085607,-62.667634529257725
1,initial,5,-958044.36188772,-13034.867984007547,-62.66763453849782
1,initial,6,-958044.36188039,-13034.867983907818,-62.667634538018355
1,initial,7,-958044.36187699,-13034.867983861559,-62.667634537795955
1,initial,8,-958044.36188579,-13034.867983981288,-62.66763453837158
1,initial,9,-958044.36188272,-13034.867983939519,-62.667634538170766
1,initial,10,-958044.36188441,-13034.867983962513,-62.66763453828131
