n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950716.24363812,-12935.163776400168,-62.18828738653927
1,initial,1,-950675.95358906,-12934.615601919466,-62.18565193230513
1,initial,2,-950679.46839807,-12934.66342337039,-62.18588184312687
1,initial,3,-950685.62349901,-12934.747167851723,-62.18628446082559
1,initial,4,-950679.70632437,-12934.666660525198,-62.18589740637114
1,initial,5,-950698.2725792,-12934.919267492362,-62.18711186294404
1,initial,6,-950714.86168302,-12935.144973928169,-62.18819699003927
1,initial,7,-950718.15297692,-12935.189754298672,-62.18841228028207
1,initial,8,-950719.50195447,-12935.208108087887,-62.1885005196533
1,initial,9,-950721.68986627,-12935.237876168165,-62.18864363542387
1,initial,10,-950723.88673734,-12935.267766145616,-62.18878733723854
1,initial,11,-950724.1907209,-12935.271902055947,-62.18880722142282
1,initial,12,-950724.21591218,-12935.272244801046,-62.1888088692358
1,initial,13,-950724.22664867,-12935.27239087855,-62.18880957153149
1,initial,14,-950724.22445551,-12935.272361039066,-62.18880942807243
1,initial,15,-950724.22621733,-12935.272385009866,-62.188809543316665
1,initial,16,-950724.22623377,-12935.272385233546,-62.18880954439204
1,initial,17,-950724.22606545,-12935.272382943433,-62.188809533381885
1,initial,18,-950724.22610552,-12935.272383488615,-62.18880953600296
1,initial,19,-950724.22609264,-12935.272383313371,-62.18880953516044
1,initial,20,-950724.22610071,-12935.27238342317,-62.188809535688314
