n_opt,type,iteration,Energy (mRy),Energy (eV),Energy (eV/atom)
1,initial,0,-950715.8961176,-12935.159048138848,-62.188264654513695
1,initial,1,-950677.66186981,-12934.63884428166,-62.18576367443106
1,initial,2,-950690.45182828,-12934.812860670472,-62.18660029168496
1,initial,3,-950703.91527671,-12934.99604036431,-62.18748096328996
1,initial,4,-950700.78980417,-12934.953516110147,-62.18727651976032
1,initial,5,-950705.45687009,-12935.01701482749,-62.18758180205524
1,initial,6,-950713.48863514,-12935.126292645167,-62.18810717617869
1,initial,7,-950719.43644472,-12935.207216781622,-62.18849623452703
1,initial,8,-950721.82927077,-12935.239772864525,-62.188652754156365
1,initial,9,-950722.32538356,-12935.246522828285,-62.188685205905216
1,initial,10,-950723.66981299,-12935.264814737126,-62.18877314777464
1,initial,11,-950723.9634065,-12935.268809283514,-62.18879235232459
1,initial,12,-950723.9835189,-12935.269082926872,-62.18879366791766
1,initial,13,-950723.98994571,-12935.269170368148,-62.188794088308406
1,initial,14,-950723.98941457,-12935.269163141615,-62.18879405356545
1,initial,15,-950723.99014707,-12935.269173107792,-62.18879410147977
1,initial,16,-950723.99014682,-12935.26917310439,-62.188794101463415
1,initial,17,-950723.99007704,-12935.269172154985,-62.18879409689897
1,initial,18,-950723.99011594,-12935.269172684246,-62.18879409944349
1,initial,19,-950723.99009311,-12935.269172373628,-62.18879409795014
1,initial,20,-950723.99010527,-12935.269172539072,-62.18879409874554
1,initial,21,-950723.99010466,-12935.269172530774,-62.18879409870564
