k,Energy (eV)
0.0,-10.697424
0.02598,-10.709668
0.05195,-10.721914
0.07792,-10.734159
0.1039,-10.746405
0.12987,-10.757289
0.15584,-10.769534
0.18182,-10.780419
0.20779,-10.789943
0.23376,-10.800828
0.25974,-10.810352
0.28571,-10.819876
0.31168,-10.8294
0.33766,-10.837564
0.36363,-10.845727
0.3896,-10.85389
0.41558,-10.860694
0.44155,-10.867496
0.46752,-10.872938
0.4935,-10.879742
0.51947,-10.883823
0.54544,-10.889266
0.57142,-10.893348
0.59739,-10.896068
0.62336,-10.900149
0.64934,-10.90151
0.67531,-10.904232
0.70128,-10.905592
0.72726,-10.906953
0.75323,-10.906953
,
,
0.0,-10.697424
0.02598,-10.683818
0.05195,-10.671573
0.07792,-10.657967
0.1039,-10.645722
0.12987,-10.632115
0.15584,-10.623952
0.18182,-10.622592
0.20779,-10.621231
0.23376,-10.619871
0.25974,-10.617149
0.28571,-10.614429
0.31168,-10.611707
0.33766,-10.608986
0.36363,-10.606265
0.3896,-10.603543
0.41558,-10.599462
0.44155,-10.59538
0.46752,-10.592659
0.4935,-10.588577
0.51947,-10.585856
0.54544,-10.581775
0.57142,-10.579053
0.59739,-10.576332
0.62336,-10.57225
0.64934,-10.570889
0.67531,-10.568169
0.70128,-10.566809
0.72726,-10.566809
0.75323,-10.565448
,
,
0.0,-10.625313
0.02598,-10.625313
0.05195,-10.626673
0.07792,-10.626673
0.1039,-10.625313
0.12987,-10.625313
0.15584,-10.619871
0.18182,-10.608986
0.20779,-10.606265
0.23376,-10.602182
0.25974,-10.598101
0.28571,-10.592659
0.31168,-10.588577
0.33766,-10.583135
0.36363,-10.577692
0.3896,-10.57225
0.41558,-10.566809
0.44155,-10.560005
0.46752,-10.554563
0.4935,-10.54776
0.51947,-10.540957
0.54544,-10.534154
0.57142,-10.527351
0.59739,-10.521909
0.62336,-10.515105
0.64934,-10.509664
0.67531,-10.504221
0.70128,-10.5015
0.72726,-10.498779
0.75323,-10.497418
,
,
0.0,-10.625313
0.02598,-10.623952
0.05195,-10.622592
0.07792,-10.619871
0.1039,-10.61851
0.12987,-10.615789
0.15584,-10.613068
0.18182,-10.606265
0.20779,-10.59402
0.23376,-10.581775
0.25974,-10.569529
0.28571,-10.558644
0.31168,-10.54776
0.33766,-10.536876
0.36363,-10.527351
0.3896,-10.517827
0.41558,-10.511024
0.44155,-10.502861
0.46752,-10.497418
0.4935,-10.491976
0.51947,-10.487894
0.54544,-10.485173
0.57142,-10.481091
0.59739,-10.479731
0.62336,-10.478371
0.64934,-10.47701
0.67531,-10.475649
0.70128,-10.475649
0.72726,-10.474289
0.75323,-10.474289
,
,
0.0,-10.278365
0.02598,-10.283808
0.05195,-10.29061
0.07792,-10.296053
0.1039,-10.301495
0.12987,-10.306937
0.15584,-10.31238
0.18182,-10.316462
0.20779,-10.320543
0.23376,-10.324625
0.25974,-10.327346
0.28571,-10.330067
0.31168,-10.331428
0.33766,-10.332788
0.36363,-10.332788
0.3896,-10.332788
0.41558,-10.331428
0.44155,-10.332788
0.46752,-10.340952
0.4935,-10.349115
0.51947,-10.357279
0.54544,-10.365442
0.57142,-10.373606
0.59739,-10.380408
0.62336,-10.388572
0.64934,-10.394014
0.67531,-10.400818
0.70128,-10.404899
0.72726,-10.407619
0.75323,-10.40898
,
,
0.0,-10.278365
0.02598,-10.277004
0.05195,-10.275643
0.07792,-10.275643
0.1039,-10.274283
0.12987,-10.271562
0.15584,-10.270202
0.18182,-10.267481
0.20779,-10.26612
0.23376,-10.272923
0.25974,-10.279725
0.28571,-10.286529
0.31168,-10.293332
0.33766,-10.300134
0.36363,-10.308298
0.3896,-10.316462
0.41558,-10.324625
0.44155,-10.328706
0.46752,-10.325985
0.4935,-10.323264
0.51947,-10.320543
0.54544,-10.327346
0.57142,-10.331428
0.59739,-10.33687
0.62336,-10.340952
0.64934,-10.345034
0.67531,-10.347754
0.70128,-10.349115
0.72726,-10.350476
0.75323,-10.351836
,
,
0.0,-10.277004
0.02598,-10.277004
0.05195,-10.275643
0.07792,-10.275643
0.1039,-10.274283
0.12987,-10.271562
0.15584,-10.270202
0.18182,-10.267481
0.20779,-10.264759
0.23376,-10.262038
0.25974,-10.260677
0.28571,-10.26612
0.31168,-10.271562
0.33766,-10.278365
0.36363,-10.283808
0.3896,-10.29061
0.41558,-10.296053
0.44155,-10.302855
0.46752,-10.309658
0.4935,-10.315101
0.51947,-10.317822
0.54544,-10.31374
0.57142,-10.309658
0.59739,-10.304215
0.62336,-10.300134
0.64934,-10.296053
0.67531,-10.293332
0.70128,-10.29061
0.72726,-10.289249
0.75323,-10.287889
,
,
0.0,-10.277004
0.02598,-10.271562
0.05195,-10.264759
0.07792,-10.257957
0.1039,-10.251153
0.12987,-10.251153
0.15584,-10.256596
0.18182,-10.260677
0.20779,-10.264759
0.23376,-10.262038
0.25974,-10.257957
0.28571,-10.253875
0.31168,-10.249793
0.33766,-10.24571
0.36363,-10.24163
0.3896,-10.237548
0.41558,-10.232105
0.44155,-10.228024
0.46752,-10.222581
0.4935,-10.217138
0.51947,-10.213058
0.54544,-10.207615
0.57142,-10.203533
0.59739,-10.199451
0.62336,-10.19537
0.64934,-10.192648
0.67531,-10.189927
0.70128,-10.188566
0.72726,-10.187206
0.75323,-10.185846
,
,
0.0,-10.237548
0.02598,-10.238909
0.05195,-10.24163
0.07792,-10.24435
0.1039,-10.247071
0.12987,-10.24435
0.15584,-10.24435
0.18182,-10.248432
0.20779,-10.252514
0.23376,-10.256596
0.25974,-10.257957
0.28571,-10.253875
0.31168,-10.249793
0.33766,-10.24571
0.36363,-10.24163
0.3896,-10.237548
0.41558,-10.232105
0.44155,-10.228024
0.46752,-10.222581
0.4935,-10.217138
0.51947,-10.213058
0.54544,-10.207615
0.57142,-10.203533
0.59739,-10.199451
0.62336,-10.19537
0.64934,-10.192648
0.67531,-10.189927
0.70128,-10.188566
0.72726,-10.187206
0.75323,-10.185846
,
,
0.0,-10.237548
0.02598,-10.237548
0.05195,-10.237548
0.07792,-10.238909
0.1039,-10.240269
0.12987,-10.24163
0.15584,-10.237548
0.18182,-10.230744
0.20779,-10.223942
0.23376,-10.217138
0.25974,-10.210337
0.28571,-10.203533
0.31168,-10.198091
0.33766,-10.191287
0.36363,-10.185846
0.3896,-10.179043
0.41558,-10.1736
0.44155,-10.169518
0.46752,-10.164076
0.4935,-10.159995
0.51947,-10.155913
0.54544,-10.151832
0.57142,-10.147749
0.59739,-10.145028
0.62336,-10.142307
0.64934,-10.140946
0.67531,-10.139585
0.70128,-10.138225
0.72726,-10.136865
0.75323,-10.136865
,
,
0.0,-10.068836
0.02598,-10.068836
0.05195,-10.068836
0.07792,-10.068836
0.1039,-10.070196
0.12987,-10.070196
0.15584,-10.071557
0.18182,-10.072918
0.20779,-10.074278
0.23376,-10.075639
0.25974,-10.077
0.28571,-10.07836
0.31168,-10.07972
0.33766,-10.08108
0.36363,-10.082441
0.3896,-10.083801
0.41558,-10.085162
0.44155,-10.086523
0.46752,-10.087884
0.4935,-10.089244
0.51947,-10.090605
0.54544,-10.091966
0.57142,-10.093327
0.59739,-10.094687
0.62336,-10.094687
0.64934,-10.096047
0.67531,-10.096047
0.70128,-10.097408
0.72726,-10.097408
0.75323,-10.097408
,
,
0.0,-10.068836
0.02598,-10.068836
0.05195,-10.068836
0.07792,-10.068836
0.1039,-10.070196
0.12987,-10.070196
0.15584,-10.071557
0.18182,-10.072918
0.20779,-10.074278
0.23376,-10.075639
0.25974,-10.077
0.28571,-10.07836
0.31168,-10.07972
0.33766,-10.08108
0.36363,-10.082441
0.3896,-10.083801
0.41558,-10.085162
0.44155,-10.086523
0.46752,-10.087884
0.4935,-10.089244
0.51947,-10.090605
0.54544,-10.091966
0.57142,-10.093327
0.59739,-10.094687
0.62336,-10.094687
0.64934,-10.096047
0.67531,-10.096047
0.70128,-10.097408
0.72726,-10.097408
0.75323,-10.097408
,
,
0.0,-9.925975
0.02598,-9.930057
0.05195,-9.934138
0.07792,-9.93822
0.1039,-9.942302
0.12987,-9.946383
0.15584,-9.950465
0.18182,-9.954547
0.20779,-9.95999
0.23376,-9.964071
0.25974,-9.969514
0.28571,-9.973595
0.31168,-9.979037
0.33766,-9.98448
0.36363,-9.989923
0.3896,-9.994004
0.41558,-9.999446
0.44155,-10.004889
0.46752,-10.010331
0.4935,-10.015773
0.51947,-10.021215
0.54544,-10.026657
0.57142,-10.0321
0.59739,-10.036181
0.62336,-10.040263
0.64934,-10.042985
0.67531,-10.047067
0.70128,-10.048428
0.72726,-10.049788
0.75323,-10.049788
,
,
0.0,-9.925975
0.02598,-9.921893
0.05195,-9.921893
0.07792,-9.923253
0.1039,-9.923253
0.12987,-9.924614
0.15584,-9.924614
0.18182,-9.925975
0.20779,-9.927335
0.23376,-9.928696
0.25974,-9.931417
0.28571,-9.932777
0.31168,-9.935499
0.33766,-9.93822
0.36363,-9.940942
0.3896,-9.943663
0.41558,-9.947743
0.44155,-9.950465
0.46752,-9.954547
0.4935,-9.958629
0.51947,-9.96135
0.54544,-9.965432
0.57142,-9.969514
0.59739,-9.973595
0.62336,-9.976315
0.64934,-9.979037
0.67531,-9.981758
0.70128,-9.983119
0.72726,-9.98448
0.75323,-9.98448
,
,
0.0,-9.921893
0.02598,-9.921893
0.05195,-9.921893
0.07792,-9.923253
0.1039,-9.923253
0.12987,-9.924614
0.15584,-9.924614
0.18182,-9.925975
0.20779,-9.927335
0.23376,-9.928696
0.25974,-9.931417
0.28571,-9.932777
0.31168,-9.935499
0.33766,-9.93822
0.36363,-9.940942
0.3896,-9.943663
0.41558,-9.947743
0.44155,-9.950465
0.46752,-9.954547
0.4935,-9.958629
0.51947,-9.96135
0.54544,-9.965432
0.57142,-9.969514
0.59739,-9.973595
0.62336,-9.976315
0.64934,-9.979037
0.67531,-9.981758
0.70128,-9.983119
0.72726,-9.98448
0.75323,-9.98448
,
,
0.0,-9.921893
0.02598,-9.921893
0.05195,-9.917811
0.07792,-9.915091
0.1039,-9.915091
0.12987,-9.915091
0.15584,-9.915091
0.18182,-9.915091
0.20779,-9.915091
0.23376,-9.915091
0.25974,-9.915091
0.28571,-9.91373
0.31168,-9.91373
0.33766,-9.91373
0.36363,-9.91373
0.3896,-9.91373
0.41558,-9.916451
0.44155,-9.919171
0.46752,-9.921893
0.4935,-9.925975
0.51947,-9.928696
0.54544,-9.931417
0.57142,-9.932777
0.59739,-9.935499
0.62336,-9.93686
0.64934,-9.93822
0.67531,-9.939581
0.70128,-9.940942
0.72726,-9.940942
0.75323,-9.942302
,
,
0.0,-9.916451
0.02598,-9.916451
0.05195,-9.915091
0.07792,-9.915091
0.1039,-9.915091
0.12987,-9.915091
0.15584,-9.915091
0.18182,-9.915091
0.20779,-9.915091
0.23376,-9.915091
0.25974,-9.915091
0.28571,-9.91373
0.31168,-9.91373
0.33766,-9.91373
0.36363,-9.91373
0.3896,-9.91373
0.41558,-9.91373
0.44155,-9.91373
0.46752,-9.91373
0.4935,-9.91373
0.51947,-9.91237
0.54544,-9.91237
0.57142,-9.91237
0.59739,-9.91237
0.62336,-9.91237
0.64934,-9.91237
0.67531,-9.91237
0.70128,-9.91237
0.72726,-9.91237
0.75323,-9.91237
,
,
0.0,-9.916451
0.02598,-9.916451
0.05195,-9.915091
0.07792,-9.915091
0.1039,-9.911009
0.12987,-9.906927
0.15584,-9.902845
0.18182,-9.900124
0.20779,-9.896042
0.23376,-9.897403
0.25974,-9.900124
0.28571,-9.901484
0.31168,-9.904205
0.33766,-9.906927
0.36363,-9.909648
0.3896,-9.91373
0.41558,-9.91373
0.44155,-9.91373
0.46752,-9.91373
0.4935,-9.91373
0.51947,-9.91237
0.54544,-9.91237
0.57142,-9.91237
0.59739,-9.91237
0.62336,-9.91237
0.64934,-9.91237
0.67531,-9.91237
0.70128,-9.91237
0.72726,-9.91237
0.75323,-9.91237
,
,
0.0,-9.894681
0.02598,-9.894681
0.05195,-9.894681
0.07792,-9.894681
0.1039,-9.894681
0.12987,-9.894681
0.15584,-9.894681
0.18182,-9.896042
0.20779,-9.896042
0.23376,-9.89196
0.25974,-9.887878
0.28571,-9.885158
0.31168,-9.881076
0.33766,-9.876994
0.36363,-9.874272
0.3896,-9.870191
0.41558,-9.866109
0.44155,-9.862027
0.46752,-9.859306
0.4935,-9.856586
0.51947,-9.853865
