k,Energy (eV)
0.4436,-10.112646
0.46969,-10.105844
0.49578,-10.100401
0.52188,-10.09632
0.54797,-10.090878
0.57406,-10.086796
0.60016,-10.086796
0.62625,-10.088156
0.65235,-10.089517
0.67844,-10.089517
0.70453,-10.090878
0.73063,-10.090878
0.75672,-10.090878
,
,
0.0,-10.065026
0.0261,-10.065026
0.05219,-10.065026
0.07828,-10.065026
0.10438,-10.065026
0.13047,-10.066387
0.15656,-10.066387
0.18266,-10.067748
0.20875,-10.069108
0.23485,-10.069108
0.26094,-10.070469
0.28703,-10.07183
0.31313,-10.07319
0.33922,-10.07455
0.36531,-10.075911
0.39141,-10.077271
0.4175,-10.078631
0.4436,-10.079992
0.46969,-10.081353
0.49578,-10.082714
0.52188,-10.084074
0.54797,-10.085435
0.57406,-10.086796
0.60016,-10.086796
0.62625,-10.088156
0.65235,-10.089517
0.67844,-10.089517
0.70453,-10.090878
0.73063,-10.090878
0.75672,-10.090878
,
,
0.0,-10.065026
0.0261,-10.065026
0.05219,-10.065026
0.07828,-10.065026
0.10438,-10.065026
0.13047,-10.066387
0.15656,-10.066387
0.18266,-10.067748
0.20875,-10.069108
0.23485,-10.069108
0.26094,-10.070469
0.28703,-10.07183
0.31313,-10.07319
0.33922,-10.07455
0.36531,-10.075911
0.39141,-10.077271
0.4175,-10.078631
0.4436,-10.079992
0.46969,-10.081353
0.49578,-10.082714
0.52188,-10.084074
0.54797,-10.085435
0.57406,-10.086796
0.60016,-10.082714
0.62625,-10.079992
0.65235,-10.077271
0.67844,-10.07455
0.70453,-10.07319
0.73063,-10.07319
0.75672,-10.07183
,
,
0.0,-9.946655
0.0261,-9.946655
0.05219,-9.946655
0.07828,-9.948016
0.10438,-9.948016
0.13047,-9.949377
0.15656,-9.950738
0.18266,-9.952098
0.20875,-9.953459
0.23485,-9.95482
0.26094,-9.95618
0.28703,-9.958901
0.31313,-9.961622
0.33922,-9.962983
0.36531,-9.965704
0.39141,-9.968425
0.4175,-9.971146
0.4436,-9.975228
0.46969,-9.977949
0.49578,-9.98067
0.52188,-9.983392
0.54797,-9.987473
0.57406,-9.992915
0.60016,-9.998358
0.62625,-10.0038
0.65235,-10.007882
0.67844,-10.010603
0.70453,-10.013325
0.73063,-10.014686
0.75672,-10.014686
,
,
0.0,-9.946655
0.0261,-9.946655
0.05219,-9.946655
0.07828,-9.948016
0.10438,-9.948016
0.13047,-9.949377
0.15656,-9.950738
0.18266,-9.952098
0.20875,-9.953459
0.23485,-9.95482
0.26094,-9.95618
0.28703,-9.958901
0.31313,-9.961622
0.33922,-9.962983
0.36531,-9.965704
0.39141,-9.968425
0.4175,-9.971146
0.4436,-9.975228
0.46969,-9.977949
0.49578,-9.98067
0.52188,-9.983392
0.54797,-9.986113
0.57406,-9.988834
0.60016,-9.991555
0.62625,-9.994276
0.65235,-9.996997
0.67844,-9.998358
0.70453,-9.999719
0.73063,-9.999719
0.75672,-9.999719
,
,
0.0,-9.922165
0.0261,-9.922165
0.05219,-9.922165
0.07828,-9.922165
0.10438,-9.922165
0.13047,-9.920805
0.15656,-9.920805
0.18266,-9.920805
0.20875,-9.920805
0.23485,-9.920805
0.26094,-9.923526
0.28703,-9.928968
0.31313,-9.934411
0.33922,-9.939853
0.36531,-9.945295
0.39141,-9.952098
0.4175,-9.957541
0.4436,-9.964343
0.46969,-9.969786
0.49578,-9.976588
0.52188,-9.982031
0.54797,-9.986113
0.57406,-9.988834
0.60016,-9.991555
0.62625,-9.994276
0.65235,-9.996997
0.67844,-9.998358
0.70453,-9.999719
0.73063,-9.999719
0.75672,-9.999719
,
,
0.0,-9.922165
0.0261,-9.922165
0.05219,-9.922165
0.07828,-9.922165
0.10438,-9.922165
